NSC	RE.786_0	RE.A498	LC.A549	RE.ACHN	BR.BT_549	RE.CAKI_1	LE.CCRF_CEM	CO.COLO205	PR.DU_145	LC.EKVX	CO.HCC_2998	CO.HCT_116	CO.HCT_15	LE.HL_60	LC.HOP_62	LC.HOP_92	BR.HS578T	CO.HT29	OV.IGROV1	LE.K_562	CO.KM12	ME.LOXIMVI	ME.M14	ME.MALME_3M	BR.MCF7	BR.MDA_MB_231	ME.MDA_MB_435	ME.MDA_N	LE.MOLT_4	LC.NCI_H226	LC.NCI_H23	LC.NCI_H322M	LC.NCI_H460	LC.NCI_H522	OV.NCI_ADR_RES	OV.OVCAR_3	OV.OVCAR_4	OV.OVCAR_5	OV.OVCAR_8	PR.PC_3	LE.RPMI_8226	RE.RXF_393	CNS.SF_268	CNS.SF_295	CNS.SF_539	ME.SK_MEL_2	ME.SK_MEL_28	ME.SK_MEL_5	OV.SK_OV_3	RE.SN12C	CNS.SNB_19	CNS.SNB_75	LE.SR	CO.SW_620	BR.T47D	RE.TK_10	CNS.U251	ME.UACC_257	ME.UACC_62	RE.UO_31
10010	5.987	4.862	5.823	5.052	5.048	5.176	5.895	5.643	5.217	5.468	5.854	6.554	5.639	6.084	5.645	5.905	5.785	6.26	5.525	6.578	5.901	6.146	5.709	5.033	5.919	5.896	5.802	5.835	5.888	5.209	5.762	5.671	6.403	6.079	5.265	5.905	5.66	5.594	6.278	5.993	5.956	5.688	5.715	5.955	5.896	5.422	4.823	5.766	5.056	5.444	5.575	5.383	6.313	6.019	5.762	5.332	5.683	4.794	5.548	4.865
10023	4	4	4	4	4	4	4	4	4	4	4	4.223	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
100290	6.689	6.635	6.865	7.27	5.935	7.332	6.933	7.055	6.171	6.307	6.677	7.342	6.613	6.604	6.836	6.658	6.128	6.97	6.923	7.135	6.648	7.066	6.33	6.61	6.535	6.455	6.536	6.416	7.392	6.615	6.566	6.754	7.347	6.967	6.571	6.307	6.942	6.144	7.129	6.669	6.902	6.57	6.92	6.711	6.229	6.419	6.179	6.717	6.478	6.749	6.484	6.696	7.269	7.408	6.188	6.326	6.822	6.461	6.708	6.761
100857	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
100858	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
100880	8.218	7.6125	7.78166666666667	8.602	7.102	7.81766666666667	8.102	6.81566666666667	8.602	6.64	7.11133333333333	7.74666666666667	6.912	8.102	8.102	6.869	5.218	7.4725	7.074	7.3715	6.615	7.87	8.534	7.107	7.8045	6.177	7.275	7.428	8.0945	7.25933333333333	7.9195	6.92233333333333	8.068	7.8965	7.8875	6.886	6.79566666666667	7.15133333333333	7.557	6.883	7.7545	7.65766666666667	7.58433333333333	7.962	7.91966666666667	6.527	7.031	7.75	7.4885	7.823	7.92533333333333	7.94766666666667	8.301	7.25733333333333	8.602	6.355	8.102	7.343	8.02033333333333	7.83066666666667
100972	4	4	4	4	4	4	4	4.187	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
101023	4	4.482	4.118	4	4	4.031	4.415	4.18	4	4.243	4.601	4.026	4.033	4.121	4	4	4	4.506	4.028	4.113	4.025	4	4.176	4	4.106	4	4	4.04	4.498	4	4.062	4	4.043	4.175	4.284	4.54	4.143	4	4	4.036	4.369	4.196	4	4.646	4	4	4	4.485	4	4.147	4	4.189	4.497	4	4.505	4	4.039	4.401	4.145	4.218
1011	5.219	4.737	5.226	5.075	4.998	5.106	5.764	5.007	4.752	5.105	4.885	5.435	5.305	5.576	5.211	4.694	4.545	5.288	4.783	5.449	5.29	5.108	5.208	4.537	5.355	4.967	4.789	4.757	5.449	5.412	4.834	5.206	5.388	5.391	5.456	5.526	5.334	4.774	5.414	5.019	5.359	5.04	5.149	5.398	5.247	4.584	4.95	5.177	4.866	5.163	5.174	4.937	5.479	5.239	4.964	4.863	5.38	4.954	5.182	5.24
101127	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1012	5.358	4.61	5.255	5.037	4.959	5.025	5.714	4.803	4.727	5.209	4.911	5.438	5.355	5.921	5.115	4.571	4.649	5.357	4.691	5.052	5.275	5.099	5.236	4.801	5.314	4.916	4.829	4.874	5.392	5.37	4.901	5.369	5.395	5.401	5.424	5.44	5.238	5.047	5.314	5.044	5.517	4.998	5.285	5.36	5.289	4.599	5.193	5.076	4.776	5.182	5.281	4.533	5.687	5.268	4.947	4.86	5.389	4.855	4.934	5.213
1013	5.36	4.619	5.095	5.251	4.989	5.204	5.664	4.913	5.039	5.219	4.891	5.108	5.371	5.472	5.126	5.104	4.707	5.15	4.975	4.899	5.1	5.187	5.027	4.834	5.316	4.79	4.841	4.626	6.374	5.423	4.939	5.212	5.49	5.373	5.435	5.396	5.245	5.086	5.414	4.965	5.29	5.288	5.351	5.36	5.429	4.615	4.392	5.144	4.623	5.1	5.111	5.176	6.324	5.204	5.28	5.071	5.45	4.861	4.889	5.169
101335	5	5	5	5	5	5	5.625	5	5	5	5	5	5	5.335	5	5.217	5	5	5	5.305	5	5.077	5	5	5	5	5	5	5.244	5	5	5	5	5.312	5	5	5	5	5	5	5.012	5	5	5	5	5	5	5	5	5	5	5.077	5.269	5	5	5	5	5	5	5
101337	5.145	5	5	5	5	5	5.512	5.055	5	5	5	5	5	5.656	5	5	5	5	5.222	5.336	5	5	5	5	5	5	5	5	5.484	5	5.127	5	5	5.728	5	5	5	5	5	5	5.056	5	5	5	5	5	5	5	5	5	5	5.014	5.466	5.059	5.08	5	5	5	5	5
102813	7.953	7.9715	7.7525	7.899	7.6745	7.806	7.8255	7.84	7.739	7.7755	7.8525	8.0565	7.522	7.6335	7.7345	8	7.6475	7.9495	7.7735	8.112	7.8395	7.9355	7.863	7.839	7.744	7.743	7.8195	7.7735	7.773	7.888	7.7605	7.7875	8.1565	7.9585	7.2985	7.839	7.8465	7.713	7.838	7.8765	7.8415	8.2045	7.7375	7.7455	7.714	7.8365	7.788	7.8765	7.717	7.726	7.761	7.933	8.0405	7.927	7.808	7.8415	7.8375	7.7315	7.8525	7.9715
102816	6.0375	6.1085	6.0135	6.306	5.8745	6.503	5.851	6.1	6.2785	5.214	6.084	6.5285	5.9675	6.134	6.0915	5.691	6.0225	6.0695	5.889	6.12	6.126	6.384	6.0155	5.914	6.02	6.116	6.051	5.868	5.8695	5.8245	5.6925	6.07	6.6425	6.082	5.8195	5.8455	5.929	5.369	6.13	5.895	6.446	6.1455	5.795	5.789	5.9475	6.3595	5.813	5.7485	5.5485	5.9805	5.525	5.936	5.527	5.924	6.052	5.7195	5.9215	5.728	6.1925	6.064
102866	7.076	6.631	6.767	6.759	6.536	6.512	7.689	7.282	6.803	6.434	6.809	6.971	7.073	7.651	6.741	6.782	6.409	7.728	6.838	6.857	7.004	6.77	7.296	6.652	6.797	6.703	6.65	6.725	6.874	7.05	6.776	6.714	7.023	6.772	7.649	6.701	6.651	7.279	7.215	6.776	6.788	6.746	6.685	6.742	7.691	6.658	6.295	6.762	5.898	7.152	6.257	6.678	7.536	6.625	6.737	6.746	6.816	6.525	6.747	6.248
103704	4.806	4.995	5.527	5.609	4.004	4.403	5.464	4.211	4.614	4.082	6.241	4.637	4.111	4.511	5.282	5.147	4.104	4.195	4	4.065	4.018	5.052	4.532	4	6.046	4.408	4.031	4.012	5.15	4.076	4.412	4.292	6.35	4.586	4.879	4.221	4	4	4.758	4.286	4.21	4.056	5.475	5.262	5.729	4	4.094	4.49	4.023	4.751	4.28	5.214	5.214	4.063	4	4	4.454	4	5.211	4.731
103837	6.3245	5.875	6.338	6.562	6.538	6.524	6.525	6.1415	6.418	6.5665	6.35	6.4815	6.5455	6.496	6.405	6.305	6.4195	6.1165	6.3965	6.522	6.4935	6.531	6.4715	6.199	6.401	6.133	6.3675	6.643	6.7135	5.718	6.319	6.373	6.417	6.549	6.349	6.574	6.348	6.1215	6.454	6.423	6.4925	6.285	6.6755	6.5495	6.5465	6.3565	6.258	6.5055	6.3135	6.4035	6.313	6.443	6.7825	6.4025	6.491	6.279	6.6025	6.052	6.564	6.48
