Fold 1 for k=10,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
Iteration: 16.
Iteration: 17.
Iteration: 18.
[132.0, 4.0, 29.0, 59.0, 10.0, 72.0, 131.0, 34.0, 81.0, 70.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
[32.0, 2.0, 28.0, 23.0, 54.0]
Iteration 0. I-divergence: 255729.820105. MSE: 77.6682701558.
Iteration 1. I-divergence: 2170.48613076. MSE: 1.12205915529.
Iteration 2. I-divergence: 1619.76188716. MSE: 0.836797922919.
Iteration 3. I-divergence: 1595.04425196. MSE: 0.823778060973.
Iteration 4. I-divergence: 1587.81537374. MSE: 0.819979658188.
Iteration 5. I-divergence: 1582.25633854. MSE: 0.817052226436.
Iteration 6. I-divergence: 1577.15938949. MSE: 0.814366106302.
Iteration 7. I-divergence: 1572.40644592. MSE: 0.811860962418.
Iteration 8. I-divergence: 1567.96503333. MSE: 0.809520158523.
Iteration 9. I-divergence: 1563.81122601. MSE: 0.80733119728.
Iteration 10. I-divergence: 1559.92349032. MSE: 0.80528274678.
Iteration 11. I-divergence: 1556.28205504. MSE: 0.803364379056.
Iteration 12. I-divergence: 1552.86872351. MSE: 0.801566489712.
Iteration 13. I-divergence: 1549.66673233. MSE: 0.799880228387.
Iteration 14. I-divergence: 1546.66062592. MSE: 0.798297434036.
Iteration 15. I-divergence: 1543.8361441. MSE: 0.796810575956.
Iteration 16. I-divergence: 1541.18012074. MSE: 0.795412700491.
Iteration 17. I-divergence: 1538.68039249. MSE: 0.794097382891.
Iteration 18. I-divergence: 1536.32571616. MSE: 0.79285868379.
Iteration 19. I-divergence: 1534.10569394. MSE: 0.791691109769.
Iteration 20. I-divergence: 1532.01070541. MSE: 0.790589577548.
Iteration 21. I-divergence: 1530.0318458. MSE: 0.789549381422.
Iteration 22. I-divergence: 1528.16086958. MSE: 0.788566163576.
Iteration 23. I-divergence: 1526.3901391. MSE: 0.787635886991.
Iteration 24. I-divergence: 1524.71257752. MSE: 0.786754810668.
Iteration 25. I-divergence: 1523.12162575. MSE: 0.785919466946.
Iteration 26. I-divergence: 1521.61120299. MSE: 0.785126640695.
Iteration 27. I-divergence: 1520.17567047. MSE: 0.784373350226.
Iteration 28. I-divergence: 1518.80979814. MSE: 0.783656829735.
Iteration 29. I-divergence: 1517.50873405. MSE: 0.782974513158.
Iteration 30. I-divergence: 1516.26797608. MSE: 0.7823240193.
Iteration 31. I-divergence: 1515.08334603. MSE: 0.781703138127.
Iteration 32. I-divergence: 1513.95096556. MSE: 0.781109818126.
Iteration 33. I-divergence: 1512.8672341. MSE: 0.78054215464.
Iteration 34. I-divergence: 1511.82880843. MSE: 0.779998379085.
Iteration 35. I-divergence: 1510.83258377. MSE: 0.779476848994.
Iteration 36. I-divergence: 1509.87567638. MSE: 0.778976038815.
Iteration 37. I-divergence: 1508.95540738. MSE: 0.778494531389.
Iteration 38. I-divergence: 1508.06928787. MSE: 0.778031010075.
Iteration 39. I-divergence: 1507.21500507. MSE: 0.777584251456.
Iteration 40. I-divergence: 1506.39040961. MSE: 0.777153118588.
Iteration 41. I-divergence: 1505.59350363. MSE: 0.776736554748.
Iteration 42. I-divergence: 1504.82242984. MSE: 0.776333577638.
Iteration 43. I-divergence: 1504.07546139. MSE: 0.775943274025.
Iteration 44. I-divergence: 1503.35099245. MSE: 0.775564794763.
Iteration 45. I-divergence: 1502.6475295. MSE: 0.775197350187.
Iteration 46. I-divergence: 1501.96368325. MSE: 0.774840205842.
Iteration 47. I-divergence: 1501.29816115. MSE: 0.774492678523.
Iteration 48. I-divergence: 1500.64976048. MSE: 0.774154132601.
Iteration 49. I-divergence: 1500.01736192. MSE: 0.773823976624.
Iteration 50. I-divergence: 1499.39992354. MSE: 0.773501660158.
Iteration 51. I-divergence: 1498.79647533. MSE: 0.773186670858.
Iteration 52. I-divergence: 1498.20611405. MSE: 0.772878531759.
Iteration 53. I-divergence: 1497.6279985. MSE: 0.772576798754.
Iteration 54. I-divergence: 1497.06134506. MSE: 0.772281058262.
Iteration 55. I-divergence: 1496.50542368. MSE: 0.77199092506.
Iteration 56. I-divergence: 1495.95955404. MSE: 0.771706040277.
Iteration 57. I-divergence: 1495.42310203. MSE: 0.771426069529.
Iteration 58. I-divergence: 1494.89547652. MSE: 0.771150701188.
Iteration 59. I-divergence: 1494.37612634. MSE: 0.770879644783.
Iteration 60. I-divergence: 1493.86453741. MSE: 0.770612629507.
Iteration 61. I-divergence: 1493.36023024. MSE: 0.770349402841.
Iteration 62. I-divergence: 1492.86275742. MSE: 0.77008972927.
Iteration 63. I-divergence: 1492.37170142. MSE: 0.769833389093.
Iteration 64. I-divergence: 1491.88667253. MSE: 0.769580177324.
Iteration 65. I-divergence: 1491.40730689. MSE: 0.769329902665.
Iteration 66. I-divergence: 1490.93326471. MSE: 0.769082386555.
Iteration 67. I-divergence: 1490.46422863. MSE: 0.768837462291.
Iteration 68. I-divergence: 1489.99990216. MSE: 0.768594974204.
Iteration 69. I-divergence: 1489.54000823. MSE: 0.768354776905.
Iteration 70. I-divergence: 1489.0842879. MSE: 0.768116734572.
Iteration 71. I-divergence: 1488.63249907. MSE: 0.767880720301.
Iteration 72. I-divergence: 1488.18441538. MSE: 0.767646615492.
Iteration 73. I-divergence: 1487.73982514. MSE: 0.767414309287.
Iteration 74. I-divergence: 1487.29853029. MSE: 0.76718369804.
Iteration 75. I-divergence: 1486.86034555. MSE: 0.766954684835.
Iteration 76. I-divergence: 1486.4250975. MSE: 0.766727179027.
Iteration 77. I-divergence: 1485.99262384. MSE: 0.766501095824.
Iteration 78. I-divergence: 1485.5627726. MSE: 0.766276355893.
Iteration 79. I-divergence: 1485.13540151. MSE: 0.766052884996.
Iteration 80. I-divergence: 1484.71037729. MSE: 0.765830613652.
Iteration 81. I-divergence: 1484.28757512. MSE: 0.765609476823.
Iteration 82. I-divergence: 1483.86687806. MSE: 0.765389413618.
Iteration 83. I-divergence: 1483.44817653. MSE: 0.765170367023.
Iteration 84. I-divergence: 1483.03136785. MSE: 0.764952283648.
Iteration 85. I-divergence: 1482.61635576. MSE: 0.764735113488.
Iteration 86. I-divergence: 1482.20305005. MSE: 0.764518809705.
Iteration 87. I-divergence: 1481.79136613. MSE: 0.764303328425.
Iteration 88. I-divergence: 1481.38122471. MSE: 0.764088628544.
Iteration 89. I-divergence: 1480.97255144. MSE: 0.763874671554.
Iteration 90. I-divergence: 1480.56527659. MSE: 0.763661421376.
Iteration 91. I-divergence: 1480.15933478. MSE: 0.763448844205.
Iteration 92. I-divergence: 1479.75466471. MSE: 0.763236908371.
Iteration 93. I-divergence: 1479.35120887. MSE: 0.763025584198.
Iteration 94. I-divergence: 1478.94891335. MSE: 0.762814843884.
Iteration 95. I-divergence: 1478.54772759. MSE: 0.762604661386.
Iteration 96. I-divergence: 1478.1476042. MSE: 0.762395012306.
Iteration 97. I-divergence: 1477.74849871. MSE: 0.762185873794.
Iteration 98. I-divergence: 1477.35036948. MSE: 0.761977224451.
Iteration 99. I-divergence: 1476.95317744. MSE: 0.761769044241.
Iteration 100. I-divergence: 1476.55688601. MSE: 0.761561314412.
Iteration 101. I-divergence: 1476.16146089. MSE: 0.761354017412.
Iteration 102. I-divergence: 1475.76686998. MSE: 0.761147136823.
Iteration 103. I-divergence: 1475.37308321. MSE: 0.760940657289.
Iteration 104. I-divergence: 1474.98007242. MSE: 0.760734564457.
Iteration 105. I-divergence: 1474.5878113. MSE: 0.760528844916.
Iteration 106. I-divergence: 1474.19627521. MSE: 0.76032348614.
Iteration 107. I-divergence: 1473.80544113. MSE: 0.760118476441.
Iteration 108. I-divergence: 1473.41528757. MSE: 0.759913804917.
Iteration 109. I-divergence: 1473.02579445. MSE: 0.759709461405.
Iteration 110. I-divergence: 1472.63694306. MSE: 0.759505436445.
Iteration 111. I-divergence: 1472.24871593. MSE: 0.759301721234.
Iteration 112. I-divergence: 1471.86109682. MSE: 0.75909830759.
Iteration 113. I-divergence: 1471.47407062. MSE: 0.758895187921.
Iteration 114. I-divergence: 1471.08762328. MSE: 0.758692355185.
Iteration 115. I-divergence: 1470.70174177. MSE: 0.758489802866.
Iteration 116. I-divergence: 1470.31641401. MSE: 0.758287524942.
Iteration 117. I-divergence: 1469.93162884. MSE: 0.758085515856.
Iteration 118. I-divergence: 1469.54737594. MSE: 0.757883770493.
Iteration 119. I-divergence: 1469.16364579. MSE: 0.757682284157.
Iteration 120. I-divergence: 1468.78042968. MSE: 0.757481052544.
Iteration 121. I-divergence: 1468.39771956. MSE: 0.757280071725.
Iteration 122. I-divergence: 1468.01550813. MSE: 0.757079338123.
Iteration 123. I-divergence: 1467.6337887. MSE: 0.756878848496.
Iteration 124. I-divergence: 1467.2525552. MSE: 0.756678599919.
Iteration 125. I-divergence: 1466.87180216. MSE: 0.756478589767.
Iteration 126. I-divergence: 1466.49152464. MSE: 0.756278815696.
Iteration 127. I-divergence: 1466.11171825. MSE: 0.756079275635.
Iteration 128. I-divergence: 1465.73237909. MSE: 0.755879967765.
Iteration 129. I-divergence: 1465.35350371. MSE: 0.75568089051.
Iteration 130. I-divergence: 1464.97508912. MSE: 0.755482042523.
Iteration 131. I-divergence: 1464.59713277. MSE: 0.755283422674.
