Fold 1 for k=15,l=1.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
Iteration: 16.
Iteration: 17.
Iteration: 18.
Iteration: 19.
Iteration: 20.
Iteration: 21.
Iteration: 22.
Iteration: 23.
Iteration: 24.
Iteration: 25.
Iteration: 26.
Iteration: 27.
Iteration: 28.
[112.0, 46.0, 31.0, 61.0, 12.0, 66.0, 102.0, 6.0, 49.0, 65.0, 5.0, 40.0, 0.0, 1.0, 26.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
[139.0]
Iteration 0. I-divergence: 373162.689114. MSE: 100.122395207. Diff MSE: -100.122395207.
Iteration 1. I-divergence: 1919.04381223. MSE: 0.995198648539. Diff MSE: 99.1271965589.
Iteration 2. I-divergence: 1656.10458502. MSE: 0.855761566668. Diff MSE: 0.13943708187.
Iteration 3. I-divergence: 1633.63582757. MSE: 0.843938439697. Diff MSE: 0.0118231269712.
Iteration 4. I-divergence: 1631.62319729. MSE: 0.842883066899. Diff MSE: 0.00105537279831.
Iteration 5. I-divergence: 1631.43617735. MSE: 0.842786158784. Diff MSE: 9.69081145485e-05.
Iteration 6. I-divergence: 1631.41811389. MSE: 0.842777205072. Diff MSE: 8.95371197662e-06.
Iteration 7. I-divergence: 1631.41628635. MSE: 0.84277643104. Diff MSE: 7.7403208909e-07.
Iteration 8. I-divergence: 1631.41609011. MSE: 0.842776389757. Diff MSE: 4.12831099306e-08.
Iteration 9. I-divergence: 1631.41606733. MSE: 0.842776398197. Diff MSE: -8.43956760033e-09.
Iteration 10. I-divergence: 1631.41606442. MSE: 0.842776403473. Diff MSE: -5.27630594771e-09.
Iteration 11. I-divergence: 1631.416064. MSE: 0.842776405568. Diff MSE: -2.09511585858e-09.
Iteration 12. I-divergence: 1631.41606394. MSE: 0.842776406338. Diff MSE: -7.7022044298e-10.
Iteration 13. I-divergence: 1631.41606393. MSE: 0.84277640662. Diff MSE: -2.81433543137e-10.
Iteration 14. I-divergence: 1631.41606393. MSE: 0.842776406724. Diff MSE: -1.04398267808e-10.
Iteration 15. I-divergence: 1631.41606393. MSE: 0.842776406764. Diff MSE: -3.96142008086e-11.
Iteration 16. I-divergence: 1631.41606393. MSE: 0.842776406779. Diff MSE: -1.53974610839e-11.
Iteration 17. I-divergence: 1631.41606393. MSE: 0.842776406785. Diff MSE: -6.11921624483e-12.
Iteration 18. I-divergence: 1631.41606393. MSE: 0.842776406788. Diff MSE: -2.49511522554e-12.
Iteration 19. I-divergence: 1631.41606393. MSE: 0.842776406789. Diff MSE: -1.03339559132e-12.
Iteration 20. I-divergence: 1631.41606393. MSE: 0.842776406789. Diff MSE: -4.14890344302e-13.
Iteration 21. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.95066185427e-13.
Iteration 22. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -8.14903700075e-14.
Iteration 23. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -2.72004641033e-14.
Iteration 24. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.66533453694e-14.
Iteration 25. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -3.99680288865e-15.
Iteration 26. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -8.32667268469e-15.
Iteration 27. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 6.77236045021e-15.
Iteration 28. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -4.21884749358e-15.
Iteration 29. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.23234755733e-14.
Iteration 30. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -5.66213742559e-15.
Iteration 31. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -2.33146835171e-15.
Iteration 32. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 4.4408920985e-16.
Iteration 33. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -3.99680288865e-15.
Iteration 34. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.33226762955e-15.
Iteration 35. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.99840144433e-15.
Iteration 36. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -2.22044604925e-16.
Iteration 37. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 4.4408920985e-16.
Iteration 38. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 2.22044604925e-16.
Iteration 39. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 7.77156117238e-16.
Iteration 40. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 7.77156117238e-16.
Iteration 41. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 4.4408920985e-16.
Iteration 42. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -6.66133814775e-16.
Iteration 43. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -5.55111512313e-16.
Iteration 44. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.55431223448e-15.
Iteration 45. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -2.22044604925e-16.
Iteration 46. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 0.0.
Iteration 47. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.11022302463e-15.
Iteration 48. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 5.55111512313e-16.
