Fold 1 for k=20,l=1.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
Iteration: 16.
Iteration: 17.
Iteration: 18.
Iteration: 19.
Iteration: 20.
[91.0, 35.0, 14.0, 42.0, 4.0, 53.0, 106.0, 5.0, 51.0, 90.0, 3.0, 66.0, 0.0, 1.0, 24.0, 31.0, 6.0, 0.0, 0.0, 0.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
[139.0]
Iteration 0. I-divergence: 255729.820105. MSE: 77.6682701558. Diff MSE: -77.6682701558.
Iteration 1. I-divergence: 1731.22670932. MSE: 0.895746278979. Diff MSE: 76.7725238768.
Iteration 2. I-divergence: 1641.9740885. MSE: 0.848353903038. Diff MSE: 0.0473923759413.
Iteration 3. I-divergence: 1632.58211724. MSE: 0.843389195827. Diff MSE: 0.00496470721064.
Iteration 4. I-divergence: 1631.55213078. MSE: 0.842846845376. Diff MSE: 0.000542350451589.
Iteration 5. I-divergence: 1631.43318096. MSE: 0.842784893237. Diff MSE: 6.19521385818e-05.
Iteration 6. I-divergence: 1631.41843138. MSE: 0.84277745203. Diff MSE: 7.44120750129e-06.
Iteration 7. I-divergence: 1631.41642699. MSE: 0.842776523068. Diff MSE: 9.28961749969e-07.
Iteration 8. I-divergence: 1631.41612513. MSE: 0.842776411009. Diff MSE: 1.12059306945e-07.
Iteration 9. I-divergence: 1631.41607503. MSE: 0.842776401973. Diff MSE: 9.03560004595e-09.
Iteration 10. I-divergence: 1631.41606604. MSE: 0.842776403752. Diff MSE: -1.77890391306e-09.
Iteration 11. I-divergence: 1631.41606434. MSE: 0.842776405353. Diff MSE: -1.60117219483e-09.
Iteration 12. I-divergence: 1631.41606401. MSE: 0.842776406158. Diff MSE: -8.05192468256e-10.
Iteration 13. I-divergence: 1631.41606394. MSE: 0.842776406518. Diff MSE: -3.59234197944e-10.
Iteration 14. I-divergence: 1631.41606393. MSE: 0.842776406672. Diff MSE: -1.54930956953e-10.
Iteration 15. I-divergence: 1631.41606393. MSE: 0.842776406739. Diff MSE: -6.64306387677e-11.
Iteration 16. I-divergence: 1631.41606393. MSE: 0.842776406768. Diff MSE: -2.86003443151e-11.
Iteration 17. I-divergence: 1631.41606393. MSE: 0.84277640678. Diff MSE: -1.2409961947e-11.
Iteration 18. I-divergence: 1631.41606393. MSE: 0.842776406785. Diff MSE: -5.43498579475e-12.
Iteration 19. I-divergence: 1631.41606393. MSE: 0.842776406788. Diff MSE: -2.40163444687e-12.
Iteration 20. I-divergence: 1631.41606393. MSE: 0.842776406789. Diff MSE: -1.06137321154e-12.
Iteration 21. I-divergence: 1631.41606393. MSE: 0.842776406789. Diff MSE: -4.5807801996e-13.
Iteration 22. I-divergence: 1631.41606393. MSE: 0.842776406789. Diff MSE: -2.12496686913e-13.
Iteration 23. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.09690034833e-13.
Iteration 24. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -4.26325641456e-14.
Iteration 25. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.75415237891e-14.
Iteration 26. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -4.4408920985e-16.
Iteration 27. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.33226762955e-15.
Iteration 28. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -5.10702591328e-15.
Iteration 29. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.11022302463e-15.
Iteration 30. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.1768364061e-14.
Iteration 31. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.39888101103e-14.
Iteration 32. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -6.66133814775e-16.
Iteration 33. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.88737914186e-15.
Iteration 34. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.11022302463e-16.
Iteration 35. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.33226762955e-15.
Iteration 36. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.99840144433e-15.
Iteration 37. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.55431223448e-15.
Iteration 38. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -5.55111512313e-16.
Iteration 39. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 0.0.
Iteration 40. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -5.55111512313e-16.
Iteration 41. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 0.0.
Iteration 42. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 7.77156117238e-16.
Iteration 43. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.11022302463e-16.
Iteration 44. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.11022302463e-16.
Iteration 45. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -1.11022302463e-16.
Iteration 46. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -8.881784197e-16.
Iteration 47. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: -6.66133814775e-16.
Iteration 48. I-divergence: 1631.41606393. MSE: 0.84277640679. Diff MSE: 1.22124532709e-15.
