Fold 1 for k=5,l=1.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
[139.0]
Iteration 0. I-divergence: 812438.758895. MSE: 153.670645311.
Iteration 1. I-divergence: 4046.32116629. MSE: 2.12413947838.
Iteration 2. I-divergence: 1706.94757142. MSE: 0.881906424699.
Iteration 3. I-divergence: 1634.92882957. MSE: 0.844597933096.
Iteration 4. I-divergence: 1631.65958877. MSE: 0.842902930135.
Iteration 5. I-divergence: 1631.43958768. MSE: 0.842788562836.
Iteration 6. I-divergence: 1631.4188641. MSE: 0.842777807755.
Iteration 7. I-divergence: 1631.41643559. MSE: 0.842776572561.
Iteration 8. I-divergence: 1631.41611588. MSE: 0.842776421947.
Iteration 9. I-divergence: 1631.41607136. MSE: 0.842776405857.
Iteration 10. I-divergence: 1631.416065. MSE: 0.842776405463.
Iteration 11. I-divergence: 1631.41606408. MSE: 0.84277640614.
Iteration 12. I-divergence: 1631.41606395. MSE: 0.84277640652.
Iteration 13. I-divergence: 1631.41606393. MSE: 0.842776406683.
Iteration 14. I-divergence: 1631.41606393. MSE: 0.842776406749.
Iteration 15. I-divergence: 1631.41606393. MSE: 0.842776406774.
Iteration 16. I-divergence: 1631.41606393. MSE: 0.842776406784.
Iteration 17. I-divergence: 1631.41606393. MSE: 0.842776406787.
Iteration 18. I-divergence: 1631.41606393. MSE: 0.842776406789.
Iteration 19. I-divergence: 1631.41606393. MSE: 0.842776406789.
Iteration 20. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 21. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 22. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 23. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 24. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 25. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 26. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 27. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 28. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 29. I-divergence: 1631.41606393. MSE: 0.84277640679.
Iteration 30. I-divergence: 1631.41606393. MSE: 0.84277640679.
