Fold 1 for k=5,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
[27.0, 21.0, 28.0, 33.0, 30.0]
Iteration 0. I-divergence: 479239.662048. MSE: 116.691811909.
Iteration 1. I-divergence: 2782.40112745. MSE: 1.42757044645.
Iteration 2. I-divergence: 1714.08357001. MSE: 0.885596529645.
Iteration 3. I-divergence: 1663.31001088. MSE: 0.858890579647.
Iteration 4. I-divergence: 1643.33749945. MSE: 0.848450740747.
Iteration 5. I-divergence: 1627.63351181. MSE: 0.840255287087.
Iteration 6. I-divergence: 1614.40609469. MSE: 0.833356928505.
Iteration 7. I-divergence: 1603.16279882. MSE: 0.827497537823.
Iteration 8. I-divergence: 1593.57065639. MSE: 0.822502469589.
Iteration 9. I-divergence: 1585.3627148. MSE: 0.818231546068.
Iteration 10. I-divergence: 1578.31891854. MSE: 0.814569213132.
Iteration 11. I-divergence: 1572.2565676. MSE: 0.811419578338.
Iteration 12. I-divergence: 1567.02347074. MSE: 0.80870281299.
Iteration 13. I-divergence: 1562.49254995. MSE: 0.806352306117.
Iteration 14. I-divergence: 1558.55747936. MSE: 0.804312362338.
Iteration 15. I-divergence: 1555.12912712. MSE: 0.802536324301.
Iteration 16. I-divergence: 1552.13263832. MSE: 0.800985034371.
Iteration 17. I-divergence: 1549.50503542. MSE: 0.799625570083.
Iteration 18. I-divergence: 1547.19323889. MSE: 0.798430201849.
Iteration 19. I-divergence: 1545.15243096. MSE: 0.797375531877.
Iteration 20. I-divergence: 1543.34470028. MSE: 0.79644178141.
Iteration 21. I-divergence: 1541.73791744. MSE: 0.795612199701.
Iteration 22. I-divergence: 1540.30480052. MSE: 0.794872573178.
Iteration 23. I-divergence: 1539.02213759. MSE: 0.794210817261.
Iteration 24. I-divergence: 1537.87013891. MSE: 0.79361663646.
Iteration 25. I-divergence: 1536.83189658. MSE: 0.793081240993.
Iteration 26. I-divergence: 1535.89293328. MSE: 0.792597110254.
Iteration 27. I-divergence: 1535.04082503. MSE: 0.79215779516.
Iteration 28. I-divergence: 1534.26488536. MSE: 0.791757752791.
Iteration 29. I-divergence: 1533.55590068. MSE: 0.791392207886.
Iteration 30. I-divergence: 1532.90590832. MSE: 0.791057036701.
